time_s,accel_mps2
0.0000,0.342172489
0.0100,0.706650790
0.0200,1.050078346
0.0300,1.366288249
0.0400,1.650056218
0.0500,1.897254377
0.0600,2.104964156
0.0700,2.271544440
0.0800,2.396652755
0.0900,2.481219058
0.1000,2.527373500
0.1100,2.538331217
0.1200,2.518238821
0.1300,2.471988698
0.1400,2.405008357
0.1500,2.323033012
0.1600,2.231870163
0.1700,2.137165182
0.1800,2.044176833
0.1900,1.957571247
0.2000,1.881242105
0.2100,1.818163761
0.2200,1.770282755
0.2300,1.738451666
0.2400,1.722407640
0.2500,1.720796202
0.2600,1.731239241
0.2700,1.750444352
0.2800,1.774351187
0.2900,1.798309025
0.3000,1.817278625
0.3100,1.826050490
0.3200,1.819471102
0.3300,1.792668336
0.3400,1.741267384
0.3500,1.661588835
0.3600,1.550821272
0.3700,1.407161739
0.3800,1.229918627
0.3900,1.019572986
0.4000,0.777795842
0.4100,0.507420753
0.4200,0.212372551
0.4300,-0.102445154
0.4400,-0.431299558
0.4500,-0.767809811
0.4600,-1.105153020
0.4700,-1.436287465
0.4800,-1.754184779
0.4900,-2.052062479
0.5000,-2.323608288
0.5100,-2.563187967
0.5200,-2.766029052
0.5300,-2.928373780
0.5400,-3.047595681
0.5500,-3.122275671
0.5600,-3.152235016
0.5700,-3.138524154
0.5800,-3.083368020
0.5900,-2.990070127
0.6000,-2.862879205
0.6100,-2.706823576
0.6200,-2.527519620
0.6300,-2.330961638
0.6400,-2.123301075
0.6500,-1.910623411
0.6600,-1.698731103
0.6700,-1.492940645
0.6800,-1.297901288
0.6900,-1.117442047
0.7000,-0.954452579
0.7100,-0.810802149
0.7200,-0.687299474
0.7300,-0.583694653
0.7400,-0.498722789
0.7500,-0.430187332
0.7600,-0.375079656
0.7700,-0.329730040
0.7800,-0.289984026
0.7900,-0.251397182
0.8000,-0.209440660
0.8100,-0.159709482
0.8200,-0.098125497
0.8300,-0.021127093
0.8400,0.074161651
0.8500,0.189788934
0.8600,0.326865818
0.8700,0.485493652
0.8800,0.664731179
0.8900,0.862602626
0.9000,1.076146529
0.9100,1.301503484
0.9200,1.534039569
0.9300,1.768500782
0.9400,1.999192729
0.9500,2.220178786
0.9600,2.425489327
0.9700,2.609334150
0.9800,2.766310148
0.9900,2.891596458
1.0000,2.981129791
1.0100,3.031753408
1.0200,3.041334212
1.0300,3.008843603
1.0400,2.934399158
1.0500,2.819265604
1.0600,2.665815145
1.0700,2.477448664
1.0800,2.258480827
1.0900,2.013993408
1.1000,1.749662372
1.1100,1.471565173
1.1200,1.185975467
1.1300,0.899152859
1.1400,0.617135475
1.1500,0.345542993
1.1600,0.089397349
1.1700,-0.147032371
1.1800,-0.360355267
1.1900,-0.548149776
1.2000,-0.709017497
1.2100,-0.842598012
1.2200,-0.949544468
1.2300,-1.031461184
1.2400,-1.090805977
1.2500,-1.130761206
1.2600,-1.155078724
1.2700,-1.167904855
1.2800,-1.173592274
1.2900,-1.176506107
1.3000,-1.180831779
1.3100,-1.190392005
1.3200,-1.208479971
1.3300,-1.237715091
1.3400,-1.279926829
1.3500,-1.336071013
1.3600,-1.406181779
1.3700,-1.489360947
1.3800,-1.583805156
1.3900,-1.686869686
1.4000,-1.795166467
1.4100,-1.904692475
1.4200,-2.010983594
1.4300,-2.109288019
1.4400,-2.194752573
1.4500,-2.262614814
1.4600,-2.308393590
1.4700,-2.328070795
1.4800,-2.318257374
1.4900,-2.276337282
1.5000,-2.200583888
1.5100,-2.090244408
1.5200,-1.945589121
1.5300,-1.767923481
1.5400,-1.559562619
1.5500,-1.323769143
1.5600,-1.064656527
1.5700,-0.787061661
1.5800,-0.496391280
1.5900,-0.198447956
1.6000,0.100757901
1.6100,0.395203104
1.6200,0.679046611
1.6300,0.946817154
1.6400,1.193586713
1.6500,1.415123527
1.6600,1.608019113
1.6700,1.769784772
1.6800,1.898914213
1.6900,1.994910208
1.7000,2.058274547
1.7100,2.090461953
1.7200,2.093799940
1.7300,2.071377887
1.7400,2.026909737
1.7500,1.964575693
1.7600,1.888849036
1.7700,1.804314759
1.7800,1.715486917
1.7900,1.626631682
1.8000,1.541602766
1.8100,1.463695429
1.8200,1.395524521
1.8300,1.338931068
1.8400,1.294920820
1.8500,1.263636934
1.8600,1.244367656
1.8700,1.235588531
1.8800,1.235037350
1.8900,1.239818805
1.9000,1.246534687
1.9100,1.251434520
1.9200,1.250580727
1.9300,1.240021915
1.9400,1.215967553
1.9500,1.174957275
1.9600,1.114018274
1.9700,1.030804701
1.9800,0.923713681
1.9900,0.791973465
2.0000,0.635700282
2.0100,0.455921657
2.0200,0.254565247
2.0300,0.034413515
2.0400,-0.200974103
2.0500,-0.447368688
2.0600,-0.700005009
2.0700,-0.953735439
2.0800,-1.203198901
2.0900,-1.442998591
2.1000,-1.667881863
2.1100,-1.872915658
2.1200,-2.053650967
2.1300,-2.206270294
2.1400,-2.327712706
2.1500,-2.415771934
2.1600,-2.469163969
2.1700,-2.487561794
2.1800,-2.471596096
2.1900,-2.422822076
2.2000,-2.343653775
2.2100,-2.237268486
2.2200,-2.107484987
2.2300,-1.958620245
2.2400,-1.795330065
2.2500,-1.622439691
2.2600,-1.444770749
2.2700,-1.266971015
2.2800,-1.093353329
2.2900,-0.927749639
2.3000,-0.773385516
2.3100,-0.632779712
2.3200,-0.507672338
2.3300,-0.398984154
2.3400,-0.306808270
2.3500,-0.230434297
2.3600,-0.168403805
2.3700,-0.118594700
2.3800,-0.078331095
