source,event_id,raw_header_event_id,record_id,waveform_detail_id,stream,raw_filename,network_code,station_id,location_code,component,sampling_interval_s,usable_duration_s,original_units,normalized_units,ndata,parsed_sample_count,raw_duration_derivation,pga_cm_s2,source_header_pga_cm_s2,pga_g,event_date,event_time_utc,latitude,longitude,partition,source_url_or_access_reference,preprocessing_status,source_processing_type,source_quality_class,raw_sha256,processed_sha256,data_license,data_citation,raw_redistribution_allowed,eligibility_status,eligibility_reason
ESM,IT-1980-0030,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,,HNN,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,IT,CNP,,horizontal acceleration,0.005,29.83,cm/s^2,m/s^2,5966,5966,explicit:DURATION_S,164.396288,164.396288,0.1676375602269888290088868268,1980-12-01,1980-12-01T19:04:29Z,40.885,15.308,training,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1980-0030&catalog=ESM&network=IT&station=CNP&location=&channel=HN%2A&format=ascii&processing-type=MP&data-type=ACC&quality-class=BAD,source_processed:MP;project_unit_normalized:cm/s^2->m/s^2,MP,BAD,d3cd9c638c8c1a57f77a0316115434a03211c74df19e822b631f5769cc67c933,f66df89da913a579e522ae282571b5cbd33f47e75f2d7d707b8ebd734b76fa47,CC-BY3_0-IT (http://creativecommons.org/licenses/by/3.0/deed.en),"Mascandola C., Felicetta C., Russo E., Luzi L., Lanzano G., Sgobba S., Brunelli G., Ramadan F., Pacor F., ORFEUS Strong-Motion SMC (2026). Engineering Strong Motion Database (ESM), version 3.0. Istituto Nazionale di Geofisica e Vulcanologia (INGV). https://doi.org/10.13127/esm.3",false,eligible,
ESM,IT-1980-0030,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,,HNE,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,IT,CR1,,horizontal acceleration,0.005,26.025,cm/s^2,m/s^2,5205,5205,explicit:DURATION_S,209.325529,209.325529,0.213452635711481494700024983,1980-12-01,1980-12-01T19:04:29Z,40.885,15.308,training,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1980-0030&catalog=ESM&network=IT&station=CR1&location=&channel=HN%2A&format=ascii&processing-type=MP&data-type=ACC&quality-class=BAD,source_processed:MP;project_unit_normalized:cm/s^2->m/s^2,MP,BAD,ad4885ab340d8021f8cbbf17b768a829d13c8ed9c6e1023f0a02e5963e0f25b2,c1029e8e5219082eb8868b707ca7efa2c52f4974eb03293641258cdce931735e,CC-BY3_0-IT (http://creativecommons.org/licenses/by/3.0/deed.en),"Mascandola C., Felicetta C., Russo E., Luzi L., Lanzano G., Sgobba S., Brunelli G., Ramadan F., Pacor F., ORFEUS Strong-Motion SMC (2026). Engineering Strong Motion Database (ESM), version 3.0. Istituto Nazionale di Geofisica e Vulcanologia (INGV). https://doi.org/10.13127/esm.3",false,eligible,
ESM,IT-1980-0030,IT-1980-0030,IT.CNP..HNE.D.IT-1980-0030.ACC.MP.ASC,,HNE,IT.CNP..HNE.D.IT-1980-0030.ACC.MP.ASC,IT,CNP,,horizontal acceleration,0.005,29.83,cm/s^2,m/s^2,5966,5966,explicit:DURATION_S,196.903886,196.903886,0.2007860849525577031912018885,1980-12-01,1980-12-01T19:04:29Z,40.885,15.308,training,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1980-0030&catalog=ESM&network=IT&station=CNP&location=&channel=HN%2A&format=ascii&processing-type=MP&data-type=ACC&quality-class=BAD,source_processed:MP;project_unit_normalized:cm/s^2->m/s^2,MP,BAD,be99278e5766c273c433596a933b227c3044169d21047c90338bf8f84d2b5d0a,3e50b488a4d75d7343df032cbdd9e1c0635d6959426b8ebf558fd5061152a174,CC-BY3_0-IT (http://creativecommons.org/licenses/by/3.0/deed.en),"Mascandola C., Felicetta C., Russo E., Luzi L., Lanzano G., Sgobba S., Brunelli G., Ramadan F., Pacor F., ORFEUS Strong-Motion SMC (2026). Engineering Strong Motion Database (ESM), version 3.0. Istituto Nazionale di Geofisica e Vulcanologia (INGV). https://doi.org/10.13127/esm.3",false,eligible,
ESM,IT-1980-0030,IT-1980-0030,IT.CR1..HNN.D.IT-1980-0030.ACC.MP.ASC,,HNN,IT.CR1..HNN.D.IT-1980-0030.ACC.MP.ASC,IT,CR1,,horizontal acceleration,0.005,26.025,cm/s^2,m/s^2,5205,5205,explicit:DURATION_S,301.910318,301.910318,0.3078628461299220426955178374,1980-12-01,1980-12-01T19:04:29Z,40.885,15.308,training,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1980-0030&catalog=ESM&network=IT&station=CR1&location=&channel=HN%2A&format=ascii&processing-type=MP&data-type=ACC&quality-class=BAD,source_processed:MP;project_unit_normalized:cm/s^2->m/s^2,MP,BAD,8eeaf222952c5f23ae00fbcbc3c9fd98dfda2d5d971c5b773704756735beab3a,423866685eb4f4c5e0e6442fe912ce5cc7cd3494ab9ac787765dc2010385111a,CC-BY3_0-IT (http://creativecommons.org/licenses/by/3.0/deed.en),"Mascandola C., Felicetta C., Russo E., Luzi L., Lanzano G., Sgobba S., Brunelli G., Ramadan F., Pacor F., ORFEUS Strong-Motion SMC (2026). Engineering Strong Motion Database (ESM), version 3.0. Istituto Nazionale di Geofisica e Vulcanologia (INGV). https://doi.org/10.13127/esm.3",false,eligible,
ESM,EMSC-20071129_0000090,EMSC-20071129_0000090,RA.MAMA.00.HNN.D.EMSC-20071129_0000090.ACC.MP.ASC,,HNN,RA.MAMA.00.HNN.D.EMSC-20071129_0000090.ACC.MP.ASC,RA,MAMA,00,horizontal acceleration,0.005,108.06,cm/s^2,m/s^2,21612,21612,explicit:DURATION_S,184.07273,184.07273,0.1877019471481086813539791876,2007-11-29,2007-11-29T19:00:20Z,14.944,-61.274,training,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20071129_0000090&catalog=ESM&network=RA&station=MAMA&location=00&channel=HN%2A&format=ascii&processing-type=MP&data-type=ACC&quality-class=GOOD,source_processed:MP;project_unit_normalized:cm/s^2->m/s^2,MP,GOOD,f01bbede2f069a9c169a7e38b6e58e4c0018090bce7740aab0d1774780a3784c,93c0a9e68d0a0ab682a51cfd9d50153dedff07a2295f5ad0bb463e2cab493f1b,CC-BY4_0 (http://creativecommons.org/licenses/by/4.0/),"Mascandola C., Felicetta C., Russo E., Luzi L., Lanzano G., Sgobba S., Brunelli G., Ramadan F., Pacor F., ORFEUS Strong-Motion SMC (2026). Engineering Strong Motion Database (ESM), version 3.0. Istituto Nazionale di Geofisica e Vulcanologia (INGV). https://doi.org/10.13127/esm.3",false,eligible,
ESM,EMSC-20071129_0000090,EMSC-20071129_0000090,RA.MAMA.00.HNE.D.EMSC-20071129_0000090.ACC.MP.ASC,,HNE,RA.MAMA.00.HNE.D.EMSC-20071129_0000090.ACC.MP.ASC,RA,MAMA,00,horizontal acceleration,0.005,108.06,cm/s^2,m/s^2,21612,21612,explicit:DURATION_S,158.966212,158.966212,0.1621004236920864923291847879,2007-11-29,2007-11-29T19:00:20Z,14.944,-61.274,training,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20071129_0000090&catalog=ESM&network=RA&station=MAMA&location=00&channel=HN%2A&format=ascii&processing-type=MP&data-type=ACC&quality-class=GOOD,source_processed:MP;project_unit_normalized:cm/s^2->m/s^2,MP,GOOD,6c3742382c58f6f5828742644cb9cf3fcb37da5ef30ab1b9a97c1e18277ed4ea,96e901f94b18645c4e3212e980760bb5e1fb83e4c1470d69ce6c18b418180c99,CC-BY4_0 (http://creativecommons.org/licenses/by/4.0/),"Mascandola C., Felicetta C., Russo E., Luzi L., Lanzano G., Sgobba S., Brunelli G., Ramadan F., Pacor F., ORFEUS Strong-Motion SMC (2026). Engineering Strong Motion Database (ESM), version 3.0. Istituto Nazionale di Geofisica e Vulcanologia (INGV). https://doi.org/10.13127/esm.3",false,eligible,
ESM,EMSC-20071129_0000090,EMSC-20071129_0000090,RA.MATR.00.HNE.D.EMSC-20071129_0000090.ACC.MP.ASC,,HNE,RA.MATR.00.HNE.D.EMSC-20071129_0000090.ACC.MP.ASC,RA,MATR,00,horizontal acceleration,0.005,108.06,cm/s^2,m/s^2,21612,21612,explicit:DURATION_S,164.915249,164.915249,0.1681667531725920676275792447,2007-11-29,2007-11-29T19:00:20Z,14.944,-61.274,training,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20071129_0000090&catalog=ESM&network=RA&station=MATR&location=00&channel=HN%2A&format=ascii&processing-type=MP&data-type=ACC&quality-class=GOOD,source_processed:MP;project_unit_normalized:cm/s^2->m/s^2,MP,GOOD,f243c50edab2370303f5282aa991d60887c28d0acae943058f1ebe26541a0115,0ea6ff48a341498793eadb45de801ba237a786b677e7fb10492309926caac521,CC-BY4_0 (http://creativecommons.org/licenses/by/4.0/),"Mascandola C., Felicetta C., Russo E., Luzi L., Lanzano G., Sgobba S., Brunelli G., Ramadan F., Pacor F., ORFEUS Strong-Motion SMC (2026). Engineering Strong Motion Database (ESM), version 3.0. Istituto Nazionale di Geofisica e Vulcanologia (INGV). https://doi.org/10.13127/esm.3",false,eligible,
ESM,EMSC-20071129_0000090,EMSC-20071129_0000090,RA.MALA.00.HNE.D.EMSC-20071129_0000090.ACC.MP.ASC,,HNE,RA.MALA.00.HNE.D.EMSC-20071129_0000090.ACC.MP.ASC,RA,MALA,00,horizontal acceleration,0.005,108.06,cm/s^2,m/s^2,21612,21612,explicit:DURATION_S,153.117,153.117,0.1561358873825414387176048906,2007-11-29,2007-11-29T19:00:20Z,14.944,-61.274,training,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20071129_0000090&catalog=ESM&network=RA&station=MALA&location=00&channel=HN%2A&format=ascii&processing-type=MP&data-type=ACC&quality-class=GOOD,source_processed:MP;project_unit_normalized:cm/s^2->m/s^2,MP,GOOD,dd02eadf67d00878657fa80365c27b240e94ae901f2b5bd705f76c93dd6494ac,f1f95b2ec850c40f5ae90b79e18362e92b7bcb65d262192d2a688abf077bce1a,CC-BY4_0 (http://creativecommons.org/licenses/by/4.0/),"Mascandola C., Felicetta C., Russo E., Luzi L., Lanzano G., Sgobba S., Brunelli G., Ramadan F., Pacor F., ORFEUS Strong-Motion SMC (2026). Engineering Strong Motion Database (ESM), version 3.0. Istituto Nazionale di Geofisica e Vulcanologia (INGV). https://doi.org/10.13127/esm.3",false,eligible,
ESM,EMSC-20170118_0000027,EMSC-20170118_0000027,IT.AMT..HGN.D.EMSC-20170118_0000027.ACC.MP.ASC,,HGN,IT.AMT..HGN.D.EMSC-20170118_0000027.ACC.MP.ASC,IT,AMT,,horizontal acceleration,0.005,50,cm/s^2,m/s^2,10000,10000,explicit:DURATION_S,354.433228,354.433228,0.3614213090097025997664849872,2017-01-18,2017-01-18T09:25:41Z,42.5652,13.298,training,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20170118_0000027&catalog=ESM&network=IT&station=AMT&location=&channel=HG%2A&format=ascii&processing-type=MP&data-type=ACC&quality-class=BAD,source_processed:MP;project_unit_normalized:cm/s^2->m/s^2,MP,BAD,82576a88a142f30d34ec4fc111915aab78d8dc44cba10b11f19d107daef69086,ff7be3bac08bd89a1725825b172ed84c7e0ee932da04e18047c5d2ea89b101f5,CC-BY3_0-IT (http://creativecommons.org/licenses/by/3.0/deed.en),"Mascandola C., Felicetta C., Russo E., Luzi L., Lanzano G., Sgobba S., Brunelli G., Ramadan F., Pacor F., ORFEUS Strong-Motion SMC (2026). Engineering Strong Motion Database (ESM), version 3.0. Istituto Nazionale di Geofisica e Vulcanologia (INGV). https://doi.org/10.13127/esm.3",false,eligible,
ESM,EMSC-20170118_0000027,EMSC-20170118_0000027,8P.T1218..HNN.D.EMSC-20170118_0000027.ACC.MP.ASC,,HNN,8P.T1218..HNN.D.EMSC-20170118_0000027.ACC.MP.ASC,8P,T1218,,horizontal acceleration,0.005,56.7,cm/s^2,m/s^2,11340,11340,explicit:DURATION_S,161.007248,161.007248,0.1641817011925581110776870797,2017-01-18,2017-01-18T09:25:41Z,42.5652,13.298,training,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20170118_0000027&catalog=ESM&network=8P&station=T1218&location=&channel=HN%2A&format=ascii&processing-type=MP&data-type=ACC&quality-class=GOOD,source_processed:MP;project_unit_normalized:cm/s^2->m/s^2,MP,GOOD,6febdfad0f892787cb5271d0beed9577d6a687572f63deadda8f592d01d1faa3,ec09a3364645d55676360d55342fc7034459c4d86fb40219e92b624439381a20,CC-BY4_0 (http://creativecommons.org/licenses/by/4.0/),"Mascandola C., Felicetta C., Russo E., Luzi L., Lanzano G., Sgobba S., Brunelli G., Ramadan F., Pacor F., ORFEUS Strong-Motion SMC (2026). Engineering Strong Motion Database (ESM), version 3.0. Istituto Nazionale di Geofisica e Vulcanologia (INGV). https://doi.org/10.13127/esm.3",false,eligible,
